"date","years","offense","motivation_bias","district_number","community"
"2012-01-16","2012","Robbery: Armed","Anti-asian","9","Armour Square"
"2012-01-26","2012","Vandalism","Anti-lgbtqia","18","Lincoln Park"
"2012-01-31","2012","Cyber Harassment","Anti-black","1","Near South Side"
"2012-01-31","2012","Vandalism","Anti-lgbtqia","24","West Ridge"
"2012-02-15","2012","Assault: Aggravated","Anti-white","12","Near West Side"
"2012-03-13","2012","Vandalism","Anti-white","14","West Town"
"2012-03-19","2012","Battery: Aggravated","Anti-lgbtqia","20","Edgewater"
"2012-03-18","2012","Battery: Aggravated","Anti-hispanic","24","Rogers Park"
"2012-03-28","2012","Vandalism","Anti-jewish","19","Lake View"
"2012-04-25","2012","Battery: Aggravated","Anti-black","18","Near North Side"
"2012-05-27","2012","Battery: Aggravated","Anti-lgbtqia","22","Mount Greenwood"
"2012-05-29","2012","Cyber Harassment","Anti-black","5","West Pullman"
"2012-06-15","2012","Robbery: Armed","Anti-hispanic","8","Garfield Ridge"
"2012-06-18","2012","Vandalism","Anti-black","19","Lake View"
"2012-06-22","2012","Battery: Aggravated","Anti-hispanic","8","West Lawn"
"2012-06-22","2012","Assault: Aggravated","Anti-black","22","Morgan Park"
"2012-06-22","2012","Battery: Aggravated","Anti-lgbtqia","4","South Shore"
"2012-07-15","2012","Assault: Aggravated","Anti-lgbtqia","4","South Chicago"
"2012-07-23","2012","Battery: Aggravated","Anti-lgbtqia","11","Humboldt Park"
"2012-07-24","2012","Assault: Aggravated","Xenophobic","25","Dunning"
"2012-08-24","2012","Cyber Harassment","Anti-black","1","Loop"
"2012-09-16","2012","Assault: Aggravated","Anti-black","9","New City"
"2012-09-20","2012","Battery: Aggravated","Anti-lgbtqia","3","South Shore"
"2012-09-25","2012","Vandalism","Anti-jewish","17","North Park"
"2012-09-26","2012","Battery: Aggravated","Anti-lgbtqia","4","Avalon Park"
"2012-09-27","2012","Assault: Aggravated","Anti-white","11","Humboldt Park"
